Partner_Description,Hiscox_COB,full_industry_code
Lawn Irrigation / Sprinkler System Installation,Plumbing (residential or domestic),23822000_47215200_00010000
Lawyers,Legal services,54111000_23101100_03000000
Leather Goods Distributor,OOA,0
Legislative Bodies,OOA,0
Libraries and Archives,Library,51912000_11101100_00000000
Life & Health Insurance Agents,Insurance agent,52421000_41302100_00000000
Life Sciences / Research & Development,Life science consulting,54169000_11912100_01000000
Limousine,OOA,0
Linen Supply,OOA,0
Linen Supply Services,OOA,0
Linotyping,Commercial Printing - Prepress Services,32312000_51511100_01000000
Lithographing,Commercial Printing - Prepress Services,32312000_51511100_01000000
Livestock Farm,OOA,0
Livestock Merchant Wholesalers,OOA,0
Livestock Production,OOA,0
Loan Origination Service,OOA,0
Local Messengers and Local Delivery,Delivery service providers,49221000_11101100_00000000
Locksmiths,Locksmiths,56162200_49909400_00000000
LRO – Automobile Service Occupancy,OOA,0
LRO – Business or Personal Services Occupancy,OOA,0
LRO – Contractors Occupancy,OOA,0
LRO – Food Processors Occupancy,OOA,0
LRO – Manufacturers NOC Occupancy,OOA,0
LRO – Metal Manufacturing Occupancy,OOA,0
LRO – Office Occupancy,OOA,0
LRO – Plastic Manufacturing Occupancy,OOA,0
LRO – Restaurant Occupancy,OOA,0
LRO – Retail Occupancy,OOA,0
LRO – Shopping Center (Less than 10 Stores),OOA,0
LRO – Shopping Center (10 or More Stores),OOA,0
LRO – Technology Manufacturing Occupancy,OOA,0
LRO – Wholesaler Occupancy,OOA,0
Luggage Distributor,OOA,0
Luggage or Leather Goods Store,Leather Goods Stores,44832000_11101100_00000001
Lyft,OOA,0
Mail Order House – Books (Not Publishing or Printing),OOA,0
Mail Order House – Cheese,OOA,0
Mail Order House – Clothing – Men’s,OOA,0
Mail Order House – Clothing – Women’s,OOA,0
Mail Order House – Computer Software & Peripheral Equipment,OOA,0
Mail Order House – Fruit,OOA,0
Management Consulting,Management consulting,54161100_13111100_04000000
Manufacturer’s Representative,Manufacturer sales representative,42512000_41401200_00000000
Manufacturer’s Representative - Excluding Products,Manufacturer sales representative,42512000_41401200_00000000
Manufacturer’s Representative - High Products Exposure,Manufacturer sales representative,42512000_41401200_00000000
Manufacturer’s Representative - Low Products Exposure,Manufacturer sales representative,42512000_41401200_00000000
Manufacturing – Bakery Products,OOA,0
Manufacturing – Candies and Confectionery,OOA,0
Manufacturing – Canned and Bottled Soft Drinks and Carbonated Waters,OOA,0
"Manufacturing – Canned Fruits, Vegetables, Preserves, Jams and Jellies",OOA,0
Manufacturing – Cannery,OOA,0
"Manufacturing – China, Porcelain, Pottery or E-Ware",OOA,0
Manufacturing – Chocolate and Cocoa Products,OOA,0
Manufacturing – Clocks and Clock Parts,OOA,0
Manufacturing – Cloth Luggage,OOA,0
"Manufacturing – Clothing, Children’s Wear",OOA,0
"Manufacturing – Clothing, No Children’s Wear",OOA,0
Manufacturing – Coffee,OOA,0
Manufacturing – Commercial Air Conditioning,OOA,0
